sku_id,forecast_rows,actual_demand,predicted_demand,absolute_error,MAE,RMSE,sMAPE_percent,WAPE_percent
SKU01560,1,64.0,46.120247252747255,17.879752747252745,17.879752747252745,17.879752747252745,32.47314312002089,27.937113667582413
SKU02172,2,104.0,83.95035555555555,20.049644444444457,10.024822222222229,14.060638054806464,16.034282319112673,19.278504273504286
SKU03455,1,59.0,50.961814285714254,8.038185714285746,8.038185714285746,8.038185714285746,14.619958330989508,13.624043583535164
SKU04447,1,41.0,48.73757936507934,7.737579365079341,7.737579365079341,7.737579365079341,17.244903238587597,18.87214479287644
SKU00774,1,43.0,35.99537619047617,7.004623809523828,7.004623809523828,7.004623809523828,17.73426280706368,16.28982281284611
SKU04547,1,46.0,39.17917460317462,6.820825396825377,6.820825396825377,6.820825396825377,16.015241820789292,14.82788129744647
SKU04442,1,56.0,50.70567741147741,5.29432258852259,5.29432258852259,5.29432258852259,9.923225674500287,9.454147479504625
SKU02704,1,55.0,49.71154285714287,5.288457142857133,5.288457142857133,5.288457142857133,10.101001281343231,9.615376623376607
SKU00596,2,73.0,62.79780317460318,10.202196825396818,5.101098412698409,7.1841707346246855,8.641981676879567,13.975612089584683
SKU04056,1,55.0,50.06599682539683,4.93400317460317,4.93400317460317,4.93400317460317,9.392197901672617,8.970914862914853
SKU03587,1,33.0,28.173900000000007,4.826099999999993,4.826099999999993,4.826099999999993,15.778297607312899,14.624545454545434
SKU02208,2,73.0,63.81571428571428,9.184285714285721,4.592142857142861,6.4874389443515685,8.171991831126437,12.581213307240715
SKU01590,1,54.0,49.5326619047619,4.467338095238098,4.467338095238098,4.467338095238098,8.6298140375209,8.272848324514996
SKU01405,1,52.0,47.7495873015873,4.250412698412703,4.250412698412703,4.250412698412703,8.522165982625708,8.173870573870582
SKU00553,1,44.0,47.73290952380953,3.732909523809532,3.732909523809532,3.732909523809532,8.138648481089865,8.4838852813853
SKU04599,2,70.0,77.44361904761901,7.443619047619009,3.7218095238095046,5.147622572792916,7.094109800858973,10.633741496598583
SKU04811,1,37.0,33.35392380952382,3.6460761904761796,3.6460761904761796,3.6460761904761796,10.364954768827292,9.854259974259945
SKU01929,1,45.0,41.38150158730159,3.6184984126984077,3.6184984126984077,3.6184984126984077,8.377947468397194,8.04110758377424
SKU02410,1,31.0,27.40639047619047,3.59360952380953,3.59360952380953,3.59360952380953,12.305535385805,11.592288786482355
SKU02556,1,20.0,17.0281380952381,2.9718619047619015,2.9718619047619015,2.9718619047619015,16.05191110132588,14.85930952380951
SKU03434,1,44.0,41.21826666666669,2.7817333333333067,2.7817333333333067,2.7817333333333067,6.528490761761499,6.322121212121152
SKU02488,3,100.0,92.7200380952381,8.342228571428588,2.780742857142863,4.427603385694445,5.827351911427219,8.342228571428588
SKU00669,1,32.0,29.288155555555555,2.711844444444445,2.711844444444445,2.711844444444445,8.84948949715497,8.47451388888889
SKU03836,2,52.0,46.66907777777778,5.33092222222222,2.66546111111111,3.697710379581335,8.873932312479461,10.251773504273501
SKU00592,1,38.0,40.63217460317464,2.63217460317464,2.63217460317464,2.63217460317464,6.694904767566662,6.92677527151221
SKU04610,1,54.0,51.39469841269842,2.6053015873015823,2.6053015873015823,2.6053015873015823,4.943894952096915,4.824632569077004
SKU02141,1,32.0,29.40189841269841,2.5981015873015885,2.5981015873015885,2.5981015873015885,8.462609966353353,8.119067460317464
SKU01892,1,35.0,32.442385714285706,2.557614285714294,2.557614285714294,2.557614285714294,7.584590190950312,7.307469387755126
SKU02921,2,61.0,56.4474142857143,4.5525857142857,2.27629285714285,3.1989580590551716,4.707258851765044,7.463255269320819
SKU04887,1,39.0,41.24469365079367,2.2446936507936712,2.2446936507936712,2.2446936507936712,5.594622020895383,5.755624745624798
SKU02869,1,41.0,43.151637662337656,2.151637662337656,2.151637662337656,2.151637662337656,5.113715483402002,5.247896737408917
SKU01276,1,44.0,41.92489682539682,2.0751031746031785,2.0751031746031785,2.0751031746031785,4.830039374547938,4.716143578643588
SKU03614,1,17.0,15.028708802308808,1.9712911976911922,1.9712911976911922,1.9712911976911922,12.309526492988631,11.595830574654073
SKU01365,1,37.0,35.04420793650795,1.9557920634920478,1.9557920634920478,1.9557920634920478,5.429422071558268,5.285924495924453
SKU01818,1,49.0,47.09321904761904,1.906780952380963,1.906780952380963,1.906780952380963,3.968606674391991,3.891389698736659
SKU03191,1,36.0,37.88894444444444,1.8889444444444408,1.8889444444444408,1.8889444444444408,5.112928486519926,5.247067901234558
SKU00775,1,32.0,33.83806031746031,1.838060317460311,1.838060317460311,1.838060317460311,5.583579797452982,5.743938492063472
SKU04253,1,18.0,16.209472294372294,1.7905277056277065,1.7905277056277065,1.7905277056277065,10.468022951188647,9.947376142376148
SKU00901,1,39.0,40.761167821067815,1.761167821067815,1.761167821067815,1.761167821067815,4.416103397630111,4.51581492581491
SKU01557,1,28.0,26.24698412698413,1.753015873015869,1.753015873015869,1.753015873015869,6.463090626060683,6.2607709750566745
SKU00926,2,70.0,73.39787460317461,3.397874603174621,1.6989373015873106,1.701186240360033,4.79178658083625,4.854106575963744
SKU00474,1,42.0,40.35048412698414,1.649515873015858,1.649515873015858,1.649515873015858,4.006086644183683,3.927418745275852
SKU02320,1,35.0,36.64300634920633,1.6430063492063312,1.6430063492063312,1.6430063492063312,4.586648252023088,4.694303854875232
SKU00865,1,26.0,27.618927272727277,1.6189272727272765,1.6189272727272765,1.6189272727272765,6.03864103618771,6.226643356643371
SKU01763,1,28.0,29.49672857142857,1.4967285714285694,1.4967285714285694,1.4967285714285694,5.2063086322178265,5.345459183673462
SKU02115,1,32.0,33.377231746031754,1.3772317460317538,1.3772317460317538,1.3772317460317538,4.213184649303688,4.303849206349231
SKU02322,1,39.0,37.66798253968256,1.332017460317438,1.332017460317438,1.332017460317438,3.474768517948153,3.415429385429328
SKU04120,1,26.0,27.28124285714286,1.2812428571428605,1.2812428571428605,1.2812428571428605,4.809357997065182,4.927857142857155
SKU01414,1,29.0,30.170204761904767,1.1702047619047669,1.1702047619047669,1.1702047619047669,3.955385203122276,4.0351888341543685
SKU02332,1,16.0,17.13927936507936,1.1392793650793607,1.1392793650793607,1.1392793650793607,6.87570391937901,7.120496031746004
SKU01561,1,50.0,48.8995761904762,1.1004238095237966,1.1004238095237966,1.1004238095237966,2.2253357434099192,2.200847619047593
SKU01972,1,31.0,32.08589365079366,1.0858936507936576,1.0858936507936576,1.0858936507936576,3.4425878368451914,3.5028827444956696
SKU02618,1,20.0,21.074014285714284,1.0740142857142843,1.0740142857142843,1.0740142857142843,5.2296533679097,5.370071428571421
SKU00087,1,47.0,45.93250952380953,1.0674904761904713,1.0674904761904713,1.0674904761904713,2.2973456364416323,2.2712563323201516
SKU00175,1,22.0,20.93730476190477,1.0626952380952304,1.0626952380952304,1.0626952380952304,4.949985771058851,4.830432900432865
SKU02575,1,17.0,18.052661904761905,1.052661904761905,1.052661904761905,1.052661904761905,6.0061738399325435,6.192128851540618
SKU04329,1,35.0,33.958176190476195,1.0418238095238053,1.0418238095238053,1.0418238095238053,3.0216106836876913,2.976639455782301
SKU02121,1,27.0,28.028071428571423,1.0280714285714225,1.0280714285714225,1.0280714285714225,3.7365344700691505,3.807671957671935
