store_id,forecast_rows,actual_demand,predicted_demand,absolute_error,MAE,RMSE,sMAPE_percent,WAPE_percent
ST04,51,738.0,719.4457126984129,25.17875079365078,0.4937009959539369,1.6618145417155035,2.2967442019035866,3.4117548500881822
ST30,75,673.0,654.6291541125541,28.459849062049067,0.3794646541606542,2.3101974333071493,6.743063395171696,4.2288037239300245
ST16,136,916.0,895.2428967476967,36.85359906759904,0.2709823460852871,1.6323071450945357,7.093049461020478,4.023318675502079
ST09,46,583.0,582.6520024531025,11.59688961038962,0.25210629587803524,0.49546716603866875,1.669989985132828,1.989174890289815
ST20,91,920.0,912.3591952380953,21.824477777777755,0.23982942612942587,0.8501775581502214,1.8383708861812331,2.3722258454106258
ST17,74,776.0,769.9426238095238,17.5729952380952,0.2374729086229081,0.970988051744622,1.5391009644574865,2.264561242022577
ST15,54,543.0,538.1957428571428,12.066126984126996,0.22344679600235176,0.7159379777541662,1.3116760709059512,2.222122833172559
ST29,128,991.0,989.8929015873016,27.362844444444377,0.2137722222222217,0.9021588039909244,1.7575410767233186,2.761134656351602
ST19,73,807.0,808.9344174603174,15.095360317460354,0.2067857577734295,0.42548621466065056,1.8831883168501244,1.8705527035266858
ST11,113,591.0,576.4274873015872,22.28230317460321,0.19718852366905495,1.099331807087691,1.836241585558252,3.7702712647382763
ST01,89,889.0,895.4384552669553,15.774950793650765,0.17724663813090746,0.7943782016971915,1.392223443342878,1.7744601567661151
ST10,85,638.0,628.5644980463981,13.299854334554347,0.15646887452416877,0.6612871673434499,1.5747945069968072,2.0846166668580484
ST13,120,778.0,779.7779256854257,16.505639971139953,0.1375469997594996,0.5849240716293207,1.745458036990955,2.1215475541310993
ST02,71,540.0,542.4782142857143,9.109230158730155,0.128299016320143,0.5125691229559114,0.9971273268585745,1.6868944738389173
ST22,153,793.0,793.620705916306,19.002388455988473,0.12419861735940178,0.5000788946286872,5.949126168778739,2.3962658834790003
ST23,109,835.0,834.0665230880231,12.80648181818183,0.11749065888240211,0.39518071981509145,1.2719331294430534,1.5337103973870456
ST14,53,673.0,674.5803,6.003030158730131,0.1132647199760402,0.23559274920373482,4.8989390927336744,0.8919807070921443
ST12,115,929.0,925.5831151515151,12.727303896103876,0.11067220779220763,0.3381260800137912,1.5695192821998085,1.3700004193868542
ST03,148,785.0,779.0005832611832,15.815681096681079,0.10686271011271,0.471839531227101,1.6824436962249334,2.01473644543708
ST18,136,638.0,635.7761764790764,14.139356854256855,0.10396585922247688,0.5110140747164011,1.6040363720473114,2.216200133896059
ST21,109,651.0,656.0990206349207,10.089747619047646,0.09256649191786831,0.3191772738669785,1.9812187736069662,1.5498844268890393
ST08,79,554.0,553.0731063492063,6.771096825396834,0.08571008639742829,0.22266248995206986,5.647753828890475,1.2222196435734358
ST27,172,712.0,703.2022777777778,13.98761428571433,0.08132333887043215,0.6265165530683587,1.319802238070829,1.964552568218305
ST07,124,666.0,666.8335238095239,9.624739682539653,0.07761886840757785,0.23396814627165372,1.4511977936992537,1.4451561084894373
ST26,83,515.0,516.8088542568543,6.15697806637806,0.07418045863106096,0.17465519660315695,1.2416948879012277,1.1955297216268077
ST06,159,625.0,622.7609984126984,11.709220634920623,0.07364289707497247,0.28406213373598443,7.055223719596107,1.8734753015872998
ST28,86,504.0,502.8017025974026,5.581026406926399,0.064895655894493,0.16702725736026794,1.134835046313499,1.1073465093107933
ST24,82,592.0,591.4050904761905,4.899639682539684,0.0597517034456059,0.12696474363229274,5.00344309916983,0.8276418382668386
ST25,139,597.0,602.916592063492,8.251455555555516,0.059362989608313065,0.18046353063059964,5.313779345935381,1.3821533593895337
ST05,105,618.0,619.7281682539682,5.834628571428533,0.05556789115646222,0.13765019576223492,0.812317630182468,0.94411465557096
