date,sku_id,store_id,actual_units_sold,predicted_units_sold,forecast_error,absolute_error,error_percentage,absolute_error_percentage,error_direction
2025-10-26,SKU02172,ST30,73.0,53.11594444444444,19.88405555555556,19.88405555555556,27.238432267884328,27.238432267884328,UNDER_FORECAST
2025-10-12,SKU01560,ST16,64.0,46.120247252747255,17.879752747252745,17.879752747252745,27.937113667582413,27.937113667582413,UNDER_FORECAST
2025-10-26,SKU00596,ST04,66.0,55.84013650793651,10.159863492063486,10.159863492063486,15.393732563732556,15.393732563732556,UNDER_FORECAST
2025-10-31,SKU02208,ST11,61.0,51.82538095238095,9.174619047619052,9.174619047619052,15.040359094457463,15.040359094457463,UNDER_FORECAST
2025-10-05,SKU03455,ST27,59.0,50.961814285714254,8.038185714285746,8.038185714285746,13.624043583535164,13.624043583535164,UNDER_FORECAST
2025-10-31,SKU04447,ST29,41.0,48.73757936507934,-7.737579365079341,7.737579365079341,-18.87214479287644,18.87214479287644,OVER_FORECAST
2025-10-30,SKU02488,ST17,57.0,49.35130476190475,7.64869523809525,7.64869523809525,13.418763575605702,13.418763575605702,UNDER_FORECAST
2025-10-24,SKU04599,ST01,51.0,58.27795238095234,-7.2779523809523425,7.2779523809523425,-14.270494864612436,14.270494864612436,OVER_FORECAST
2025-10-09,SKU00774,ST11,43.0,35.99537619047617,7.004623809523828,7.004623809523828,16.28982281284611,16.28982281284611,UNDER_FORECAST
2025-09-16,SKU04547,ST20,46.0,39.17917460317462,6.820825396825377,6.820825396825377,14.82788129744647,14.82788129744647,UNDER_FORECAST
2025-10-22,SKU00966,ST18,34.0,28.507693939393945,5.492306060606058,5.492306060606058,16.153841354723703,16.153841354723703,UNDER_FORECAST
2025-10-12,SKU04442,ST10,56.0,50.70567741147741,5.29432258852259,5.29432258852259,9.454147479504625,9.454147479504625,UNDER_FORECAST
2025-10-18,SKU02704,ST13,55.0,49.71154285714287,5.288457142857133,5.288457142857133,9.615376623376607,9.615376623376607,UNDER_FORECAST
2025-09-20,SKU03836,ST16,33.0,27.77165396825397,5.228346031746028,5.228346031746028,15.84347282347281,15.84347282347281,UNDER_FORECAST
2025-10-16,SKU04056,ST29,55.0,50.06599682539683,4.93400317460317,4.93400317460317,8.970914862914853,8.970914862914853,UNDER_FORECAST
2025-09-25,SKU03587,ST03,33.0,28.173900000000007,4.826099999999993,4.826099999999993,14.624545454545434,14.624545454545434,UNDER_FORECAST
2025-10-19,SKU02921,ST04,52.0,47.47608095238097,4.523919047619032,4.523919047619032,8.699844322344292,8.699844322344292,UNDER_FORECAST
2025-10-17,SKU01590,ST22,54.0,49.5326619047619,4.467338095238098,4.467338095238098,8.272848324514996,8.272848324514996,UNDER_FORECAST
2025-10-27,SKU01405,ST15,52.0,47.7495873015873,4.250412698412703,4.250412698412703,8.173870573870582,8.173870573870582,UNDER_FORECAST
2025-10-22,SKU00553,ST02,44.0,47.73290952380953,-3.732909523809532,3.732909523809532,-8.4838852813853,8.4838852813853,OVER_FORECAST
2025-10-20,SKU04811,ST04,37.0,33.35392380952382,3.64607619047618,3.64607619047618,9.854259974259946,9.854259974259946,UNDER_FORECAST
2025-10-25,SKU01929,ST29,45.0,41.38150158730159,3.618498412698408,3.618498412698408,8.04110758377424,8.04110758377424,UNDER_FORECAST
2025-10-02,SKU02410,ST20,31.0,27.40639047619047,3.59360952380953,3.59360952380953,11.592288786482355,11.592288786482355,UNDER_FORECAST
2025-09-16,SKU02556,ST17,20.0,17.0281380952381,2.971861904761901,2.971861904761901,14.859309523809506,14.859309523809506,UNDER_FORECAST
2025-09-28,SKU03696,ST13,32.0,34.96984444444445,-2.969844444444448,2.969844444444448,-9.2807638888889,9.2807638888889,OVER_FORECAST
2025-10-12,SKU03434,ST06,44.0,41.21826666666669,2.7817333333333067,2.7817333333333067,6.322121212121152,6.322121212121152,UNDER_FORECAST
2025-09-29,SKU00669,ST23,32.0,29.288155555555555,2.711844444444445,2.711844444444445,8.47451388888889,8.47451388888889,UNDER_FORECAST
2025-09-28,SKU00592,ST21,38.0,40.63217460317464,-2.63217460317464,2.63217460317464,-6.92677527151221,6.92677527151221,OVER_FORECAST
2025-09-20,SKU04610,ST15,54.0,51.39469841269842,2.6053015873015823,2.6053015873015823,4.824632569077004,4.824632569077004,UNDER_FORECAST
2025-09-18,SKU02141,ST10,32.0,29.40189841269841,2.598101587301585,2.598101587301585,8.119067460317453,8.119067460317453,UNDER_FORECAST
