date,sku_id,store_id,units_sold,revenue,unit_price,promo_flag,year,month,day,month_num,day_of_month,day_of_week,week_of_year,quarter,is_weekend,week,season,is_holiday,promo_event,category,brand,store_name,store_type,city,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,expanding_mean,demand_change_1d,demand_ratio_1d_7d,promo_lag_1,promo_lag_7,price_lag_1,price_change,price_change_pct,stock_on_hand,reorder_point,safety_stock,stock_vs_reorder,stock_vs_safety,below_reorder_point,below_safety_stock,stockout_flag,sku_total_units,sku_avg_units,sku_total_revenue,sku_avg_revenue,store_total_units,store_avg_units,store_total_revenue,store_avg_revenue,category_total_units,category_avg_units,category_total_revenue,brand_total_units,brand_avg_units,brand_total_revenue,flag_count,stockout_risk_flag,slow_mover_flag
2025-01-01,SKU01327,ST01,3.0,852.66,284.22,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Home Care,PurePlus,Quetta Convenience Store #01,Convenience Store,Quetta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1178.0,1.740029542097489,1411084.76,2084.320177252585,3422.0,3.5351239669421486,4136083.83,1754.0,6.593984962406015,2585074.64,0.0,0,0
2025-01-01,SKU02239,ST01,5.0,7669.7,1533.94,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Stationery & Office,HealthFirst,Quetta Convenience Store #01,Convenience Store,Quetta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,82.0,22.0,66.0,126.0,0,0,0,0.0,0.0,0.0,0.0,2048.0,2.0,2515476.09,2456.519619140625,5489.0,4.093214019388516,6511683.24,1841.0,5.085635359116022,2762626.67,0.0,0,0
2025-01-01,SKU00898,ST03,10.0,3869.6,386.96,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Health & Wellness,PureLife,Sialkot Supermarket #03,Supermarket,Sialkot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,817.0,15.711538461538462,965723.05,18571.597115384615,1793.0,13.380597014925373,2097810.2399999998,627.0,15.675,930917.31,0.0,0,0
2025-01-01,SKU02904,ST03,2.0,3180.18,1590.09,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Personal Care,ZestyCo,Sialkot Supermarket #03,Supermarket,Sialkot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2421.0,2.7232845894263216,2907188.0100000002,3270.177739032621,6482.0,2.4911606456571866,8374595.97,2850.0,3.7648612945838837,3804091.7,0.0,0,0
2025-01-01,SKU01443,ST04,10.0,16263.2,1626.32,1,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Personal Care,QuickBite,Multan Supermarket #04,Supermarket,Multan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,3.0,4878.96,4878.96,1157.0,10.060869565217391,1697229.3599999999,14758.516173913042,2693.0,1.993338267949667,3465576.56,1445.0,2.539543057996485,1786604.0,0.0,0,0
2025-01-01,SKU03070,ST04,4.0,3734.2,933.55,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Home Care,NovaFresh,Multan Supermarket #04,Supermarket,Multan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2840.0,8.255813953488373,4141095.42,12038.06808139535,7315.0,3.440733772342427,9308821.58,2420.0,5.803357314148681,3012134.47,0.0,0,0
2025-01-01,SKU00384,ST07,8.0,4778.56,597.32,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Dairy & Bakery,ZestyCo,Peshawar Hypermarket #07,Hypermarket,Peshawar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,420.0,17.5,515822.64,21492.61,1287.0,3.7852941176470587,1446843.11,365.0,16.59090909090909,460260.33,0.0,0,0
2025-01-01,SKU02508,ST07,2.0,4108.88,2054.44,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Dairy & Bakery,PrimeCare,Peshawar Hypermarket #07,Hypermarket,Peshawar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10.0,10.0,20544.4,20544.4,2493.0,4.420212765957447,3334353.9699999997,5911.9751241134745,5645.0,3.97815362931642,7252739.58,1842.0,2.5027173913043477,2637916.98,0.0,0,0
2025-01-01,SKU03438,ST09,9.0,22435.11,2492.79,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Electronics & Accessories,EliteHome,Karachi Supermarket #09,Supermarket,Karachi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3062.0,7.396135265700483,3689941.01,8912.900990338163,6655.0,2.6662660256410255,8760058.15,2715.0,5.112994350282486,3113989.2399999998,0.0,0,0
2025-01-01,SKU03832,ST10,18.0,9558.9,531.05,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Beverages,GreenValley,Rawalpindi Convenience Store #10,Convenience Store,Rawalpindi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.0,9.0,4779.45,4779.45,3184.0,3.032380952380952,4188603.62,3989.146304761905,9701.0,3.158905893845653,12172743.02,3727.0,3.226839826839827,5007080.11,0.0,0,0
2025-01-01,SKU04026,ST10,5.0,412.5,82.5,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Personal Care,FreshFarm,Rawalpindi Convenience Store #10,Convenience Store,Rawalpindi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23.0,23.0,1897.5,1897.5,3407.0,3.187090739008419,4489436.85,4199.660289990645,9209.0,3.1333787002381763,11611994.16,3882.0,2.9231927710843375,4305275.39,0.0,0,0
2025-01-01,SKU02007,ST13,16.0,12462.08,778.88,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Home Care,FamilyChoice,Multan Convenience Store #13,Convenience Store,Multan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,6.0,4673.28,4673.28,1585.0,2.085526315789474,2060913.91,2711.728828947368,4692.0,3.1638570465273097,5942413.14,1908.0,11.634146341463415,2518258.03,0.0,0,0
2025-01-01,SKU03458,ST13,7.0,5008.85,715.55,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Electronics & Accessories,SoftTouch,Multan Convenience Store #13,Convenience Store,Multan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3097.0,3.584490740740741,3904430.08,4519.016296296297,6701.0,2.6825460368294634,8874726.49,2912.0,3.542579075425791,4036203.24,0.0,0,0
2025-01-01,SKU01219,ST14,12.0,15851.76,1320.98,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Stationery & Office,PremiumSelect,Sialkot Supermarket #14,Supermarket,Sialkot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1190.0,4.798387096774194,1632949.76,6584.474838709678,3180.0,2.9417206290471785,3866334.21,975.0,3.1862745098039214,1304116.67,0.0,0,0
2025-01-01,SKU01987,ST16,5.0,9106.2,1821.24,0,2025,1,1,1,1,2,1,1,0,1,Winter,0,0,Frozen Foods,NovaFresh,Lahore Convenience Store #16,Convenience Store,Lahore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.0,9.0,16391.16,16391.16,1709.0,1.8616557734204793,2188285.53,2383.7533006535946,4563.0,2.5649241146711637,5674971.75,1564.0,13.254237288135593,1943509.1400000001,0.0,0,0
